[2014-05-15 00:42:45] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 00:42:57] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 00:43:15] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 00:43:31] EDIT Genios/views/responsavel/index.html: -5
[2014-05-15 00:46:51] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 00:47:21] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 00:47:50] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 00:48:52] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 00:56:13] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 00:58:24] EDIT Genios/controllers/responsavel.py: -1
[2014-05-15 00:58:34] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 00:59:03] EDIT Genios/views/responsavel/alterar.html: -2
[2014-05-15 00:59:20] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 00:59:22] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:05:21] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 01:05:29] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 01:06:00] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:06:09] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:07:39] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 01:10:49] EDIT Genios/controllers/responsavel.py: 1
[2014-05-15 01:10:56] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:12:05] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:16:32] EDIT Genios/controllers/responsavel.py: 3
[2014-05-15 01:16:36] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:17:14] EDIT Genios/views/responsavel/alterar.html: 2
[2014-05-15 01:17:20] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:18:01] EDIT Genios/controllers/responsavel.py: -1
[2014-05-15 01:19:25] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:22:13] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:22:38] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:22:57] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:23:20] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:23:28] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:23:44] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:23:59] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:25:15] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:26:59] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:27:52] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:28:06] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:34:31] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:35:17] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:37:50] EDIT Genios/views/responsavel/alterar.html: 6
[2014-05-15 01:38:50] EDIT Genios/views/responsavel/alterar.html: 1
[2014-05-15 01:39:43] EDIT Genios/controllers/responsavel.py: 0
[2014-05-15 01:41:00] EDIT Genios/views/responsavel/alterar.html: 0
[2014-05-15 01:41:10] EDIT Genios/views/responsavel/alterar.html: 0
