127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-03-27 19:32:46, GET, /admin/default/edit/Exemplo/views/default/index.html, HTTP/1.1, 200, 0.051000
127.0.0.1, 2014-03-27 19:32:46, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:46, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:46, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/default/edit/Exemplo/views/default/index.html, HTTP/1.1, 200, 0.048000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.080000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.146000
127.0.0.1, 2014-03-27 19:32:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.189000
127.0.0.1, 2014-03-27 19:32:47, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.105000
127.0.0.1, 2014-03-27 19:32:47, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-03-27 19:33:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2014-03-27 19:34:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062000
127.0.0.1, 2014-03-27 19:35:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
127.0.0.1, 2014-03-27 19:36:10, POST, /admin/default/edit/Exemplo/views/default/index.html, HTTP/1.1, 200, 0.041000
127.0.0.1, 2014-03-27 19:36:14, GET, /Exemplo, HTTP/1.1, 500, 1.115000
127.0.0.1, 2014-03-27 19:36:15, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2014-03-27 19:36:22, GET, /admin/default/ticket/Exemplo/127.0.0.1.2014-03-27.19-36-13.64a9a125-59e8-4016-a0b3-78df4e616dd6, HTTP/1.1, 200, 0.052000
127.0.0.1, 2014-03-27 19:36:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-03-27 19:36:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2014-03-27 19:37:01, POST, /admin/default/edit/Exemplo/views/default/index.html, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo, HTTP/1.1, 200, 0.147000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/js/share.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:37:05, GET, /Exemplo/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-03-27 19:37:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
127.0.0.1, 2014-03-27 19:37:51, POST, /admin/default/edit/Exemplo/views/default/index.html, HTTP/1.1, 200, 0.039000
127.0.0.1, 2014-03-27 19:37:54, GET, /Exemplo, HTTP/1.1, 200, 0.212000
127.0.0.1, 2014-03-27 19:37:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-03-27 19:38:08, POST, /admin/default/edit/Exemplo/views/default/index.html, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-03-27 19:38:10, GET, /admin/default/ticket/Exemplo/127.0.0.1.2014-03-27.19-36-13.64a9a125-59e8-4016-a0b3-78df4e616dd6, HTTP/1.1, 200, 0.074000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-03-27 19:38:11, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-03-27 19:38:13, GET, /Exemplo, HTTP/1.1, 200, 0.096000
127.0.0.1, 2014-03-27 19:38:14, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-03-27 19:38:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.076000
127.0.0.1, 2014-03-27 19:39:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077000
